Proteins, Eliot EXO, Clov EXO, Tato EXO, Samo EXO, Flash EXO, Gus 2 EXO,Fritz 2 EXO,Tessa 2 EXO,Fritz 1 EXO,Tessa 1 EXO,Gus 1 EXO
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Leishmania infantum OX=5671 GN=LINJ_20_0980 PE=3 SV=1",17,3,0,0,9,16,4,0,11,6,8
1_-2-Dihydroxy-3-keto-5 -methylthiopentene_dioxygenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340052200 PE=4 SV=1,6,3,5,2,9,11,5,2,8,3,7
10_kDa_heat_shock_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260011200 PE=3 SV=1,0,0,0,0,6,4,0,0,0,0,5
14-3-3 protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_360040400 PE=3 SV=1,20,6,5,10,16,19,11,0,20,10,18
14-3-3_protein_2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110008400 PE=3 SV=1,22,5,10,4,21,24,15,0,26,10,18
19S_proteasome_non-atpase_subunit_8 OS=Leishmania infantum OX=5671 GN=LINF_320009000 PE=4 SV=1,8,4,12,6,23,8,12,0,16,3,8
19S_proteasome_regulatory_subunit OS=Leishmania infantum OX=5671 GN=RPT6 PE=3 SV=1,14,10,16,13,23,12,23,0,17,4,10
1-acyl-sn-glycerol-3-phosphateacyltransferase-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320025500 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
1-alkyl-2-acetylglycerophosphocholine esterase OS=Leishmania infantum OX=5671 GN=LINF_350035500 PE=4 SV=1,0,0,0,0,5,5,4,0,0,0,5
2_-4-dienoyl-coa_reductase_fadh1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330015600 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
2_-4-dihydroxyhept-2-ene-1_-7 -dioic_acid_aldolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250027000 PE=4 SV=1,14,0,0,0,5,11,5,0,0,5,5
26S_protease_regulatory_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030010200 PE=3 SV=1,13,11,19,15,21,11,11,0,20,8,8
2-deoxy-D-ribose 5-phosphate aldolase OS=Leishmania infantum OX=5671 GN=LINF_060016500 PE=3 SV=1,6,0,0,0,0,3,0,0,6,5,0
2Fe-2S_iron-sulfur_cluster_binding_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230023400 PE=4 SV=1,7,0,3,0,4,13,5,0,0,9,5
2-hydroxy-3-oxopropionate_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300006800 PE=4 SV=1,7,0,0,0,7,10,0,0,0,0,6
"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_360063100 PE=3 SV=1",0,0,0,0,0,0,0,0,0,0,0
2OG-Fe(II)_oxygenase_superfamily_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250016000 PE=3 SV=2,0,0,0,0,0,0,0,0,0,0,0
"2-oxoglutarate dehydrogenase, e3 component,lipoamidedehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINJ_31_2710 PE=4 SV=1",0,0,0,0,4,4,0,0,0,0,3
2-oxoglutarate_dehydrogenase_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270015100 PE=3 SV=2,0,0,0,0,4,0,0,0,0,0,0
2-oxoglutarate_dehydrogenase_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360043300 PE=3 SV=1,3,0,2,0,16,0,7,0,3,0,0
2-oxoisovalerate dehydrogenase subunit alpha OS=Leishmania infantum OX=5671 GN=LINF_210022900 PE=3 SV=1,0,0,0,0,4,0,0,0,0,0,0
2-oxoisovalerate_dehydrogenase_beta_subunit_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350005600 PE=4 SV=1,0,0,0,0,0,0,0,0,0,0,0
3_-2-trans-enoyl-CoA_isomerase_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310030700 PE=3 SV=1,0,0,0,0,0,0,0,0,0,0,0
