Country,year1,year2,Stray /pet,Age groups,Test,Cut-off,n,k,Author and publication date,Continent
Egypt (Giza),1975,,Stray,ns,DT,ns,376,149,Rifaat et al. 1976e,Africa
Nigeria (Niger Delta),1983,,Pet†,>1y; <1y,DT,01:10,200,188,Arene 1984,Africa
Lebanon (Beirut),1980,1983,Stray & pet,ns,IFA,ns,324,253,Deeb et al. 1985,Africa
Egypt (Cairo),1987,,Stray,ns,IFAT,0.086111111,177,104,Aboul-Magd et al. 1988a,Africa
Egypt (Gharbia),1988,,Stray & pet,ns,IHA,0.086111111,114,21,Abu-Zakham et al. 1989a,Africa
Guatemala (Peten),2004,,ns,ns,MAT,01:32,30,16,Lickey et al. 2005,Africa
Egypt (Giza),2008,2009,Stray,ns,MAT,≥1:25,158,154,Al-Kappany et al. 2010,Africa
Nigeria (Maiduguri),2009,,Stray,≤1; 1-5; >5y,LAT,≥1:64,105,38,Kamani et al. 2010,Africa
Egypt (Cairo),2010,,ns,ns,MAT,≥1:5,180,172,Al-Kappany et al. 2011,Africa
New Caledonia,2009,,ns,Juveniles; adults,ELISA,ns,8,4,Roqueplo et al. 2011,Africa
South Africa (Johannesburg),2013,,Pete,5-216 m,ELISA,ns,102,18,Lobetti and Lappin 2012,Africa
Ethiopia (Addis Ababa),2011,,Stray,ns,MAT,01:25,36,33,Dubey et al. 2013,Africa
Ethiopia (Addis-Ababa),2011,,Stray,≥6m,MAT,≥1:25,48,41,Tiao et al. 2013,Africa
Angola (Luanda),2014,2016,Pet,2.5-143 m,MAT,≥1:20,102,4,Lopes et al. 2017,Africa
Nigeria (Ibadan),2014,,Pet,1-36 m,MAT,01:20,226,10,"Ayinmode et al., 2017",Africa
Algeria (Algiers),2016,,Stray,ns,MAT,01:06,96,48,Yekkour et al. 2017,Africa
Japan (Kanto),1971,,Stray,ns,IFAT,ns,90,40,Werner and Walton 1973,Asia
Thailand (Bangkok),1980,,ns,ns,ns,0.219444444,40,23,Sriwaranard et al. 1981a,Asia
Japan (Kanto),1973,1981,Stray,ns,IHA,0.086111111,171,81,Fujinami et al. 1983a,Asia
Japan (various areas),1988,1990,Stray,ns,IFAT,01:04,335,86,Oikawa et al. 1990a,Asia
Taiwan,1989,,Stray & petb,ns,KELA,ns,117,9,Lin et al. 1990,Asia
China (Guangdong),1988,,Stray,ns,IHA,0.086111111,47,1,Lin et al. 1990,Asia
China (Guangdong),1989,,ns,ns,IHA,0.086111111,47,1,Shen et al. 1990,Asia
Japan (Saitama),1992,,ns,ns,LAT,01:32,726,76,Furuya et al. 1993a,Asia
Singapore,NA,,Stray,ns,LAT,0.086111111,706,217,Chong et al. 1993a,Asia
China (Shandong),1994,,ns,ns,IHA,0.086111111,200,92,Fu et al. 1995a,Asia
Turkey (Ankara),1995,,ns,ns,DA,01:16,65,28,Inci et al. 1996a,Asia
Japan (Hyogo),1990,1991,Stray,ns,LAT,0.086111111,231,44,Khin-Sane-Win et al. 1997a,Asia
Bangladesh (Mymensingh),1995,,Stray,ns,LAT,0.086111111,24,8,Samad et al. 1997,Asia
China (Shanghai),1996,,ns,ns,IHA,0.086111111,142,131,Lu et al. 1997a,Asia
Taiwan,1996,,ns,ns,LAT,01:32,202,11,Tsai et al. 1997a,Asia
Japan (various areas),1994,1995,Petb,ns,LAT,0.086111111,471,41,Maruyama et al. 1998,Asia
Japan (various areas),1997,,Petb,ns,LAT,01:32,800,48,Nogami et al. 1998,Asia
South Korea (Chinju),1996,1998,Stray,ns,WB,0.180555556,198,26,Sohn and Nam 1999,Asia
Japan (Chiba),1998,1999,Stray,ns,LAT,01:34,97,13,Hata et al. 2000,Asia
China (Hubei),2000,,ns,ns,ELISA,ns,105,33,Chen 2001a,Asia
"Japan (Saporo, Tokyo)",2000,,ns,ns,ELISA,ns,193,40,Kimbita et al. 2001,Asia
Japan (Saitama),2001,,ns,ns,ELISA,0.086111111,192,42,Huang et al. 2002,Asia
"Japan (Horraido, Okinawa)",1994,1999,Petb,2m -15y,LAT,0.086111111,1447,78,Maruyama et al. 2003,Asia
Thailand (Bangkok),2002,,Pet,ns,DA,01:16,315,23,Sukthana et al. 2003,Asia
Turkey (Van),2002,,Pet,ns,IHA,0.086111111,62,57,Tutuncu et al. 2003,Asia
China (Hebei),2004,,ns,ns,ELISA,ns,75,43,Yuan et al. 2004a,Asia
Israel (Jerusalem),1999,2000,Stray,>5 y,ELISA,0.097222222,1062,178,Salant and Spira 2004,Asia
