country,study_start,study_end,study_length_mo,region,population,study_design,age_min,age_max,age_mid,k,n,seroprev,used_webplotdigitizer,sex,method,data_quality
brazil,01/11/1990,01/01/1991,2,"Caieiras, Sao Paulo Metropolitan Region",-,cross_sectional,1,1,1,0,42,0.000,n,both,Latex indirect agglutination,good
brazil,01/11/1990,01/01/1991,2,"Caieiras, Sao Paulo Metropolitan Region",-,cross_sectional,2,2,2,2,41,0.049,n,both,Latex indirect agglutination,good
brazil,01/11/1990,01/01/1991,2,"Caieiras, Sao Paulo Metropolitan Region",-,cross_sectional,3,3,3,2,33,0.061,n,both,Latex indirect agglutination,good
brazil,01/11/1990,01/01/1991,2,"Caieiras, Sao Paulo Metropolitan Region",-,cross_sectional,4,4,4,5,24,0.208,n,both,Latex indirect agglutination,good
brazil,01/11/1990,01/01/1991,2,"Caieiras, Sao Paulo Metropolitan Region",-,cross_sectional,5,9,7,10,36,0.278,n,both,Latex indirect agglutination,good
brazil,01/11/1990,01/01/1991,2,"Caieiras, Sao Paulo Metropolitan Region",-,cross_sectional,10,14,12,2,4,0.500,n,both,Latex indirect agglutination,good
brazil,01/11/1990,01/01/1991,2,"Caieiras, Sao Paulo Metropolitan Region",-,cross_sectional,15,19,17,10,13,0.769,n,both,Latex indirect agglutination,good
brazil,01/11/1990,01/01/1991,2,"Caieiras, Sao Paulo Metropolitan Region",-,cross_sectional,20,24,22,16,24,0.667,n,both,Latex indirect agglutination,good
brazil,01/11/1990,01/01/1991,2,"Caieiras, Sao Paulo Metropolitan Region",-,cross_sectional,25,29,27,8,13,0.615,n,both,Latex indirect agglutination,good
brazil,01/11/1990,01/01/1991,2,"Caieiras, Sao Paulo Metropolitan Region",-,cross_sectional,30,39,34.5,12,20,0.600,n,both,Latex indirect agglutination,good
brazil,01/03/2004,01/04/2004,1,"Acre, western Amazon Basin",-,consecutive_cross_sectional,5,14,9.5,38,107,0.355,y,both,IgG ELISA,good
brazil,01/03/2004,01/04/2004,1,"Acre, western Amazon Basin",-,consecutive_cross_sectional,15,30,22.5,75,101,0.743,y,both,IgG ELISA,good
brazil,01/03/2004,01/04/2004,1,"Acre, western Amazon Basin",-,consecutive_cross_sectional,31,60,45.5,91,111,0.820,y,both,IgG ELISA,good
brazil,01/03/2004,01/04/2004,1,"Acre, western Amazon Basin",-,consecutive_cross_sectional,61,90,75.5,21,23,0.913,y,both,IgG ELISA,good
brazil,-,-,-,Mato Grosso state,Enawene-Nawe tribe,cross_sectional,4,9,6.5,6,12,0.500,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Enawene-Nawe tribe,cross_sectional,10,19,14.5,38,53,0.717,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Enawene-Nawe tribe,cross_sectional,20,29,24.5,23,27,0.852,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Enawene-Nawe tribe,cross_sectional,30,39,34.5,24,26,0.923,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Enawene-Nawe tribe,cross_sectional,40,49,44.5,9,10,0.900,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Enawene-Nawe tribe,cross_sectional,50,75,62.5,19,20,0.950,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Waiapi tribe,cross_sectional,4,9,6.5,5,20,0.250,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Waiapi tribe,cross_sectional,10,19,14.5,62,113,0.549,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Waiapi tribe,cross_sectional,20,29,24.5,44,80,0.550,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Waiapi tribe,cross_sectional,30,39,34.5,30,43,0.698,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Waiapi tribe,cross_sectional,40,49,44.5,17,21,0.810,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Waiapi tribe,cross_sectional,50,69,59.5,22,25,0.880,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Tiriyo tribe,cross_sectional,4,9,6.5,31,113,0.274,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Tiriyo tribe,cross_sectional,10,19,14.5,86,174,0.494,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Tiriyo tribe,cross_sectional,20,29,24.5,64,111,0.577,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Tiriyo tribe,cross_sectional,30,39,34.5,53,75,0.707,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Tiriyo tribe,cross_sectional,40,49,44.5,27,32,0.844,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,Tiriyo tribe,cross_sectional,50,90,70,55,63,0.873,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,weighted mean,cross_sectional,4,9,6.5,42,145,0.290,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,weighted mean,cross_sectional,10,19,14.5,186,340,0.547,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,weighted mean,cross_sectional,20,29,24.5,131,218,0.601,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,weighted mean,cross_sectional,30,39,34.5,107,144,0.743,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,weighted mean,cross_sectional,40,49,44.5,53,63,0.841,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Mato Grosso state,weighted mean,cross_sectional,50,90,70,96,108,0.889,n,both,"IgG ELISA, IFA for IgM and IgG",good
brazil,-,-,-,Upper Rio Negro basin,Ethnic Indians,cross_sectional,0,9,4.5,17,42,0.405,n,both,IgG ELISA and IgG IIFA,good
brazil,-,-,-,Upper Rio Negro basin,Ethnic Indians,cross_sectional,10,19,14.5,55,86,0.640,n,both,IgG ELISA and IgG IIFA,good
brazil,-,-,-,Upper Rio Negro basin,Ethnic Indians,cross_sectional,20,29,24.5,25,32,0.781,n,both,IgG ELISA and IgG IIFA,good
brazil,-,-,-,Upper Rio Negro basin,Ethnic Indians,cross_sectional,30,39,34.5,22,24,0.917,n,both,IgG ELISA and IgG IIFA,good
brazil,-,-,-,Upper Rio Negro basin,Ethnic Indians,cross_sectional,40,49,44.5,28,30,0.933,n,both,IgG ELISA and IgG IIFA,good
brazil,-,-,-,Upper Rio Negro basin,Ethnic Indians,cross_sectional,50,?,?,44,46,0.957,n,both,IgG ELISA and IgG IIFA,good
brazil,-,-,-,Upper Rio Negro basin,Ethnic Indians,cross_sectional,0,9,4.5,8,18,0.444,n,female,IgG ELISA and IgG IIFA,good
brazil,-,-,-,Upper Rio Negro basin,Ethnic Indians,cross_sectional,10,19,14.5,29,44,0.659,n,female,IgG ELISA and IgG IIFA,good
brazil,-,-,-,Upper Rio Negro basin,Ethnic Indians,cross_sectional,20,29,24.5,14,18,0.778,n,female,IgG ELISA and IgG IIFA,good
brazil,-,-,-,Upper Rio Negro basin,Ethnic Indians,cross_sectional,30,39,34.5,12,13,0.923,n,female,IgG ELISA and IgG IIFA,good
brazil,-,-,-,Upper Rio Negro basin,Ethnic Indians,cross_sectional,40,49,44.5,14,15,0.933,n,female,IgG ELISA and IgG IIFA,good
brazil,-,-,-,Upper Rio Negro basin,Ethnic Indians,cross_sectional,50,?,?,19,21,0.905,n,female,IgG ELISA and IgG IIFA,good
croatia,01/10/1994,01/05/1995,7,County of Split Dalmatia,-,cross_sectional,2,5,3.5,22,82,0.268,n,female,IgG ELISA,good
croatia,01/10/1994,01/05/1995,7,County of Split Dalmatia,-,cross_sectional,6,10,8,22,78,0.282,n,female,IgG ELISA,good
croatia,01/10/1994,01/05/1995,7,County of Split Dalmatia,-,cross_sectional,11,15,13,29,81,0.358,n,female,IgG ELISA,good
croatia,01/10/1994,01/05/1995,7,County of Split Dalmatia,-,cross_sectional,16,20,18,31,84,0.369,n,female,IgG ELISA,good
