Proteins,Eliot PAR, Eliot EXO,Clov PAR, Clov EXO,Tato PAR, Tato EXO,Samo PAR, Samo EXO,Flash PAR, Flash EXO,Gus 2 PAR, Gus 2 EXO, Fritz 2 PAR,Fritz 2 EXO,Tessa 2 PAR,Tessa 2 EXO,Fritz 1 PAR,Fritz 1 EXO,Tessa 1 PAR,Tessa 1 EXO,Gus 1 PAR,Gus 1 EXO
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Leishmania infantum OX=5671 GN=LINJ_20_0980 PE=3 SV=1",21,17,20,3,13,0,12,0,27,9,30,16,23,4,14,0,27,11,19,6,13,8
1_-2-Dihydroxy-3-keto-5 -methylthiopentene_dioxygenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340052200 PE=4 SV=1,1,6,5,3,3,5,6,2,4,9,6,11,7,5,6,2,0,8,4,3,5,7
10_kDa_heat_shock_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260011200 PE=3 SV=1,36,0,29,0,30,0,38,0,31,6,31,4,35,0,27,0,37,0,29,0,31,5
14-3-3 protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_360040400 PE=3 SV=1,20,20,31,6,21,5,20,10,34,16,36,19,33,11,36,0,41,20,28,10,36,18
14-3-3_protein_2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110008400 PE=3 SV=1,27,22,28,5,15,10,22,4,26,21,31,24,26,15,30,0,27,26,27,10,46,18
19S_proteasome_non-atpase_subunit_8 OS=Leishmania infantum OX=5671 GN=LINF_320009000 PE=4 SV=1,19,8,20,4,23,12,24,6,23,23,18,8,23,12,24,0,27,16,20,3,23,8
19S_proteasome_regulatory_subunit OS=Leishmania infantum OX=5671 GN=RPT6 PE=3 SV=1,22,14,23,10,18,16,13,13,24,23,18,12,28,23,23,0,30,17,23,4,19,10
1-acyl-sn-glycerol-3-phosphateacyltransferase-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320025500 PE=4 SV=1,3,0,10,0,7,0,17,0,8,0,4,0,16,0,4,0,5,0,3,0,2,0
1-alkyl-2-acetylglycerophosphocholine esterase OS=Leishmania infantum OX=5671 GN=LINF_350035500 PE=4 SV=1,5,0,3,0,5,0,6,0,7,5,4,5,5,4,3,0,6,0,7,0,4,5
2_-4-dienoyl-coa_reductase_fadh1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330015600 PE=3 SV=1,11,0,17,0,16,0,6,0,16,0,14,0,9,0,17,0,34,0,19,0,22,0
2_-4-dihydroxyhept-2-ene-1_-7 -dioic_acid_aldolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250027000 PE=4 SV=1,88,14,54,0,75,0,72,0,58,5,30,11,66,5,50,0,69,0,43,5,59,5
26S_protease_regulatory_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030010200 PE=3 SV=1,19,13,18,11,20,19,19,15,23,21,13,11,23,11,18,0,29,20,21,8,20,8
2-deoxy-D-ribose 5-phosphate aldolase OS=Leishmania infantum OX=5671 GN=LINF_060016500 PE=3 SV=1,10,6,9,0,7,0,4,0,7,0,2,3,8,0,5,0,26,6,9,5,6,0
2Fe-2S_iron-sulfur_cluster_binding_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230023400 PE=4 SV=1,22,7,26,0,25,3,30,0,25,4,29,13,25,5,27,0,29,0,24,9,23,5
2-hydroxy-3-oxopropionate_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300006800 PE=4 SV=1,8,7,10,0,10,0,6,0,9,7,16,10,12,0,19,0,15,0,12,0,14,6
"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_360063100 PE=3 SV=1",5,0,5,0,3,0,8,0,4,0,12,0,6,0,7,0,9,0,5,0,10,0
2OG-Fe(II)_oxygenase_superfamily_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250016000 PE=3 SV=2,6,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
"2-oxoglutarate dehydrogenase, e3 component,lipoamidedehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINJ_31_2710 PE=4 SV=1",1,0,2,0,6,0,0,0,6,4,1,4,0,0,0,0,2,0,2,0,1,3
2-oxoglutarate_dehydrogenase_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270015100 PE=3 SV=2,47,0,45,0,45,0,51,0,41,4,27,0,51,0,38,0,57,0,46,0,34,0
2-oxoglutarate_dehydrogenase_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360043300 PE=3 SV=1,78,3,97,0,84,2,90,0,67,16,38,0,82,7,58,0,84,3,96,0,54,0
2-oxoisovalerate dehydrogenase subunit alpha OS=Leishmania infantum OX=5671 GN=LINF_210022900 PE=3 SV=1,9,0,10,0,8,0,20,0,13,4,6,0,7,0,7,0,14,0,13,0,10,0
2-oxoisovalerate_dehydrogenase_beta_subunit_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350005600 PE=4 SV=1,7,0,8,0,5,0,14,0,7,0,6,0,7,0,5,0,8,0,6,0,7,0
3_-2-trans-enoyl-CoA_isomerase_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310030700 PE=3 SV=1,63,0,94,0,117,0,83,0,88,0,57,0,74,0,38,0,56,0,53,0,56,0
3-hydroxy-3-methylglutaryl coenzyme A reductase OS=Leishmania infantum OX=5671 GN=HMGR PE=3 SV=1,66,0,45,0,39,0,57,0,51,0,47,0,70,2,22,0,54,0,48,2,50,0
3-hydroxy-3-methylglutaryl-CoA_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240027300 PE=4 SV=1,122,3,127,0,113,2,90,0,133,29,135,19,124,14,117,0,140,13,122,8,183,28
3-hydroxyacyl-ACP_dehydratase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070009700 PE=4 SV=1,7,0,13,0,6,0,7,0,8,5,14,5,10,2,12,0,10,3,12,2,13,3
