"","x"
"1","1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Leishmania infantum OX=5671 GN=LINJ_20_0980 PE=3 SV=1"
"2","1_-2-Dihydroxy-3-keto-5 -methylthiopentene_dioxygenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340052200 PE=4 SV=1"
"3","10_kDa_heat_shock_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260011200 PE=3 SV=1"
"4","14-3-3 protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_360040400 PE=3 SV=1"
"5","14-3-3_protein_2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110008400 PE=3 SV=1"
"6","19S_proteasome_non-atpase_subunit_8 OS=Leishmania infantum OX=5671 GN=LINF_320009000 PE=4 SV=1"
"7","19S_proteasome_regulatory_subunit OS=Leishmania infantum OX=5671 GN=RPT6 PE=3 SV=1"
"8","1-acyl-sn-glycerol-3-phosphateacyltransferase-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320025500 PE=4 SV=1"
"9","1-alkyl-2-acetylglycerophosphocholine esterase OS=Leishmania infantum OX=5671 GN=LINF_350035500 PE=4 SV=1"
"10","2_-4-dienoyl-coa_reductase_fadh1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330015600 PE=3 SV=1"
"11","2_-4-dihydroxyhept-2-ene-1_-7 -dioic_acid_aldolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250027000 PE=4 SV=1"
"12","26S_protease_regulatory_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030010200 PE=3 SV=1"
"13","2-deoxy-D-ribose 5-phosphate aldolase OS=Leishmania infantum OX=5671 GN=LINF_060016500 PE=3 SV=1"
"14","2Fe-2S_iron-sulfur_cluster_binding_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230023400 PE=4 SV=1"
"15","2-hydroxy-3-oxopropionate_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300006800 PE=4 SV=1"
"16","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_360063100 PE=3 SV=1"
"17","2OG-Fe(II)_oxygenase_superfamily_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250016000 PE=3 SV=2"
"18","2-oxoglutarate dehydrogenase, e3 component,lipoamidedehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINJ_31_2710 PE=4 SV=1"
"19","2-oxoglutarate_dehydrogenase_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270015100 PE=3 SV=2"
"20","2-oxoglutarate_dehydrogenase_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360043300 PE=3 SV=1"
"21","2-oxoisovalerate dehydrogenase subunit alpha OS=Leishmania infantum OX=5671 GN=LINF_210022900 PE=3 SV=1"
"22","2-oxoisovalerate_dehydrogenase_beta_subunit_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350005600 PE=4 SV=1"
"23","3_-2-trans-enoyl-CoA_isomerase_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310030700 PE=3 SV=1"
"24","3-hydroxy-3-methylglutaryl coenzyme A reductase OS=Leishmania infantum OX=5671 GN=HMGR PE=3 SV=1"
"25","3-hydroxy-3-methylglutaryl-CoA_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240027300 PE=4 SV=1"
"26","3-hydroxyacyl-ACP_dehydratase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070009700 PE=4 SV=1"
"27","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_320043700 PE=3 SV=1"
"28","3-ketoacyl-CoA_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330024300 PE=4 SV=1"
"29","3-ketoacyl-CoA_thiolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230014600 PE=3 SV=1"
"30","3-keto-dihydrosphingosine_reductase OS=Leishmania infantum OX=5671 GN=LINF_350008400 PE=3 SV=1"
"31","3-mercaptopyruvate sulfurtransferase OS=Leishmania infantum OX=5671 GN=MST PE=4 SV=1"
"32","3-methylcrotonoyl-CoA_carboxylase_beta_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110011600 PE=4 SV=1"
"33","3-oxoacyl-(Acyl-carrier_protein)_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240026500 PE=4 SV=1"
"34","3-oxoacyl-acyl_carrier_protein_synthase_ii_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330036500 PE=3 SV=1"
"35","40S ribosomal protein S12 OS=Leishmania infantum OX=5671 GN=LINF_130010600 PE=3 SV=1"
"36","40S ribosomal protein S14 OS=Leishmania infantum OX=5671 GN=LINF_280015200 PE=3 SV=1"
"37","40S ribosomal protein S14 OS=Leishmania infantum OX=5671 GN=LINF_300041700 PE=3 SV=1"
"38","40S ribosomal protein S2 OS=Leishmania infantum OX=5671 GN=LINF_320009600 PE=3 SV=1"
"39","40S ribosomal protein S24 OS=Leishmania infantum OX=5671 GN=S24E-1 PE=3 SV=1"
"40","40S ribosomal protein S25 OS=Leishmania infantum OX=5671 GN=RPS25 PE=2 SV=1"
"41","40S ribosomal protein S26 OS=Leishmania infantum OX=5671 GN=LINF_280010400 PE=3 SV=1"
"42","40S ribosomal protein S3a-1 OS=Leishmania infantum OX=5671 GN=LinJ35.0500 PE=3 SV=1"
"43","40S ribosomal protein S5 OS=Leishmania infantum OX=5671 GN=LINF_110015600 PE=1 SV=1"
"44","40S ribosomal protein S6 OS=Leishmania infantum OX=5671 GN=RPS6 PE=3 SV=1"
"45","40S ribosomal protein S7 OS=Leishmania infantum OX=5671 GN=LINF_010009200 PE=3 SV=1"
"46","40S ribosomal protein S8 OS=Leishmania infantum OX=5671 GN=LINF_240026900 PE=3 SV=1"
"47","40S ribosomal protein SA OS=Leishmania infantum OX=5671 GN=LinJ36.5570 PE=1 SV=1"
"48","40S_ribosomal_protein_S10_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360015600 PE=4 SV=1"
"49","40S_ribosomal_protein_S11_-_putative OS=Leishmania infantum OX=5671 GN=LINF_200021000 PE=3 SV=1"
"50","40S_ribosomal_protein_S13_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190008800 PE=3 SV=1"
"51","40S_ribosomal_protein_S15_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220009800 PE=3 SV=1"
"52","40S_ribosomal_protein_S15A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110017900 PE=3 SV=1"
"53","40S_ribosomal_protein_S16_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260013700 PE=3 SV=1"
"54","40S_ribosomal_protein_S17_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280032800 PE=3 SV=1"
"55","40S_ribosomal_protein_S18_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360015100 PE=3 SV=1"
