Proteins,Eliot PAR,Clov PAR,Tato PAR,Samo PAR,Flash PAR,Gus 2 PAR, Fritz 2 PAR,Tessa 2 PAR,Fritz 1 PAR,Tessa 1 PAR,Gus 1 PAR
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Leishmania infantum OX=5671 GN=LINJ_20_0980 PE=3 SV=1",21,20,13,12,27,30,23,14,27,19,13
1_-2-Dihydroxy-3-keto-5 -methylthiopentene_dioxygenase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_340052200 PE=4 SV=1,1,5,3,6,4,6,7,6,0,4,5
10_kDa_heat_shock_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260011200 PE=3 SV=1,36,29,30,38,31,31,35,27,37,29,31
14-3-3 protein-like protein OS=Leishmania infantum OX=5671 GN=LINF_360040400 PE=3 SV=1,20,31,21,20,34,36,33,36,41,28,36
14-3-3_protein_2_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110008400 PE=3 SV=1,27,28,15,22,26,31,26,30,27,27,46
19S_proteasome_non-atpase_subunit_8 OS=Leishmania infantum OX=5671 GN=LINF_320009000 PE=4 SV=1,19,20,23,24,23,18,23,24,27,20,23
19S_proteasome_regulatory_subunit OS=Leishmania infantum OX=5671 GN=RPT6 PE=3 SV=1,22,23,18,13,24,18,28,23,30,23,19
1-acyl-sn-glycerol-3-phosphateacyltransferase-like_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320025500 PE=4 SV=1,3,10,7,17,8,4,16,4,5,3,2
1-alkyl-2-acetylglycerophosphocholine esterase OS=Leishmania infantum OX=5671 GN=LINF_350035500 PE=4 SV=1,5,3,5,6,7,4,5,3,6,7,4
2_-4-dienoyl-coa_reductase_fadh1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330015600 PE=3 SV=1,11,17,16,6,16,14,9,17,34,19,22
2_-4-dihydroxyhept-2-ene-1_-7 -dioic_acid_aldolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250027000 PE=4 SV=1,88,54,75,72,58,30,66,50,69,43,59
26S_protease_regulatory_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_030010200 PE=3 SV=1,19,18,20,19,23,13,23,18,29,21,20
2-deoxy-D-ribose 5-phosphate aldolase OS=Leishmania infantum OX=5671 GN=LINF_060016500 PE=3 SV=1,10,9,7,4,7,2,8,5,26,9,6
2Fe-2S_iron-sulfur_cluster_binding_domain_containing_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230023400 PE=4 SV=1,22,26,25,30,25,29,25,27,29,24,23
2-hydroxy-3-oxopropionate_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300006800 PE=4 SV=1,8,10,10,6,9,16,12,19,15,12,14
"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_360063100 PE=3 SV=1",5,5,3,8,4,12,6,7,9,5,10
2OG-Fe(II)_oxygenase_superfamily_-_putative OS=Leishmania infantum OX=5671 GN=LINF_250016000 PE=3 SV=2,6,1,1,1,1,0,1,0,0,1,1
"2-oxoglutarate dehydrogenase, e3 component,lipoamidedehydrogenase-like protein OS=Leishmania infantum OX=5671 GN=LINJ_31_2710 PE=4 SV=1",1,2,6,0,6,1,0,0,2,2,1
2-oxoglutarate_dehydrogenase_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_270015100 PE=3 SV=2,47,45,45,51,41,27,51,38,57,46,34
2-oxoglutarate_dehydrogenase_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360043300 PE=3 SV=1,78,97,84,90,67,38,82,58,84,96,54
2-oxoisovalerate dehydrogenase subunit alpha OS=Leishmania infantum OX=5671 GN=LINF_210022900 PE=3 SV=1,9,10,8,20,13,6,7,7,14,13,10
2-oxoisovalerate_dehydrogenase_beta_subunit_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_350005600 PE=4 SV=1,7,8,5,14,7,6,7,5,8,6,7
3_-2-trans-enoyl-CoA_isomerase_-_mitochondrial_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310030700 PE=3 SV=1,63,94,117,83,88,57,74,38,56,53,56
3-hydroxy-3-methylglutaryl coenzyme A reductase OS=Leishmania infantum OX=5671 GN=HMGR PE=3 SV=1,66,45,39,57,51,47,70,22,54,48,50
3-hydroxy-3-methylglutaryl-CoA_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240027300 PE=4 SV=1,122,127,113,90,133,135,124,117,140,122,183
3-hydroxyacyl-ACP_dehydratase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070009700 PE=4 SV=1,7,13,6,7,8,14,10,12,10,12,13
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_320043700 PE=3 SV=1",3,28,53,25,10,4,5,60,4,5,3
"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Leishmania infantum OX=5671 GN=LINF_320043900 PE=3 SV=1",0,0,0,0,0,0,0,0,0,0,0
3-ketoacyl-CoA_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330024300 PE=4 SV=1,39,28,39,35,42,62,36,62,58,41,84
3-ketoacyl-CoA_thiolase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_230014600 PE=3 SV=1,303,162,98,82,121,190,155,107,177,243,237
3-keto-dihydrosphingosine_reductase OS=Leishmania infantum OX=5671 GN=LINF_350008400 PE=3 SV=1,4,3,3,18,7,3,4,5,1,0,5
3-mercaptopyruvate sulfurtransferase OS=Leishmania infantum OX=5671 GN=MST PE=4 SV=1,5,5,8,2,9,11,5,7,15,13,8
3-methylcrotonoyl-CoA_carboxylase_beta_subunit_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110011600 PE=4 SV=1,1,0,0,3,1,7,0,2,2,18,10
3'-nucleotidase/nuclease_-_putative OS=Leishmania infantum OX=5671 GN=LINF_120009100 PE=3 SV=1,0,0,0,5,0,0,0,0,0,0,0
3'-nucleotidase/nuclease_precursor_-_putative OS=Leishmania infantum OX=5671 GN=LINF_310031300 PE=3 SV=1,0,0,0,3,0,0,0,0,0,0,0
3-oxoacyl-(Acyl-carrier_protein)_reductase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_240026500 PE=4 SV=1,7,4,5,4,9,3,4,5,8,8,7
3-oxoacyl-acyl_carrier_protein_synthase_ii_-_putative OS=Leishmania infantum OX=5671 GN=LINF_330036500 PE=3 SV=1,12,16,14,12,14,14,15,9,17,15,14
40S ribosomal protein S12 OS=Leishmania infantum OX=5671 GN=LINF_130010600 PE=3 SV=1,20,25,28,32,31,21,25,20,21,21,18
40S ribosomal protein S14 OS=Leishmania infantum OX=5671 GN=LINF_280015200 PE=3 SV=1,25,19,16,14,18,21,22,19,16,14,18
40S ribosomal protein S14 OS=Leishmania infantum OX=5671 GN=LINF_300041700 PE=3 SV=1,17,16,10,10,11,14,16,12,14,7,14
40S ribosomal protein S2 OS=Leishmania infantum OX=5671 GN=LINF_320009600 PE=3 SV=1,72,70,60,56,68,65,73,60,60,55,46
40S ribosomal protein S24 OS=Leishmania infantum OX=5671 GN=S24E-1 PE=3 SV=1,25,24,21,26,26,16,25,23,30,24,19
40S ribosomal protein S25 OS=Leishmania infantum OX=5671 GN=RPS25 PE=2 SV=1,9,14,8,7,7,5,12,7,9,5,5
40S ribosomal protein S26 OS=Leishmania infantum OX=5671 GN=LINF_280010400 PE=3 SV=1,19,27,19,16,25,16,16,11,18,20,13
40S ribosomal protein S3a-1 OS=Leishmania infantum OX=5671 GN=LinJ35.0500 PE=3 SV=1,43,57,40,54,47,40,49,58,41,40,37
40S ribosomal protein S5 OS=Leishmania infantum OX=5671 GN=LINF_110015600 PE=1 SV=1,54,65,44,53,55,68,66,64,48,51,48
40S ribosomal protein S6 OS=Leishmania infantum OX=5671 GN=RPS6 PE=3 SV=1,30,26,21,18,25,25,18,17,19,16,18
40S ribosomal protein S7 OS=Leishmania infantum OX=5671 GN=LINF_010009200 PE=3 SV=1,8,23,11,20,12,18,24,23,16,12,16
40S ribosomal protein S8 OS=Leishmania infantum OX=5671 GN=LINF_240026900 PE=3 SV=1,21,27,19,19,17,21,16,19,20,20,17
40S ribosomal protein SA OS=Leishmania infantum OX=5671 GN=LinJ36.5570 PE=1 SV=1,81,60,57,75,64,52,80,61,63,65,68
40S_ribosomal_protein_S10_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360015600 PE=4 SV=1,18,21,17,19,17,18,19,16,19,19,15
40S_ribosomal_protein_S11_-_putative OS=Leishmania infantum OX=5671 GN=LINF_200021000 PE=3 SV=1,16,13,12,15,15,11,13,14,8,13,11
40S_ribosomal_protein_S13_-_putative OS=Leishmania infantum OX=5671 GN=LINF_190008800 PE=3 SV=1,29,31,26,20,30,27,29,23,28,24,22
40S_ribosomal_protein_S15_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220009800 PE=3 SV=1,11,12,6,3,9,7,9,5,8,10,6
40S_ribosomal_protein_S15A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110017900 PE=3 SV=1,37,26,32,24,34,38,33,33,36,21,24
40S_ribosomal_protein_S16_-_putative OS=Leishmania infantum OX=5671 GN=LINF_260013700 PE=3 SV=1,21,24,15,20,22,20,21,17,19,14,15
40S_ribosomal_protein_S17_-_putative OS=Leishmania infantum OX=5671 GN=LINF_280032800 PE=3 SV=1,17,24,8,29,11,10,21,14,18,14,8
40S_ribosomal_protein_S18_-_putative OS=Leishmania infantum OX=5671 GN=LINF_360015100 PE=3 SV=1,23,28,21,12,22,17,22,15,22,22,14
40S_ribosomal_protein_S21_-_putative OS=Leishmania infantum OX=5671 GN=LINF_110013300 PE=3 SV=1,52,118,71,76,75,21,50,44,39,59,14
40S_ribosomal_protein_S23_-_putative OS=Leishmania infantum OX=5671 GN=LINF_210018200 PE=3 SV=1,38,35,39,29,31,28,31,22,24,31,29
40S_ribosomal_protein_S27-1_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180011200 PE=3 SV=1,29,30,20,18,23,26,22,21,20,24,16
40S_ribosomal_protein_S3_-_putative OS=Leishmania infantum OX=5671 GN=LINF_150017600 PE=3 SV=1,61,71,62,54,59,40,61,49,51,55,49
40S_ribosomal_protein_S33_-_putative OS=Leishmania infantum OX=5671 GN=s33 PE=2 SV=1,12,11,6,3,9,10,8,4,8,11,7
40S_ribosomal_protein_S9_-_putative OS=Leishmania infantum OX=5671 GN=LINF_070012400 PE=3 SV=1,7,12,6,12,10,14,11,10,10,8,11
4-coumarate:coa ligase-like protein OS=Leishmania infantum OX=5671 GN=LINF_190015300 PE=4 SV=1,55,60,48,26,38,39,54,43,57,50,44
4-coumarate:coa ligase-like protein OS=Leishmania infantum OX=5671 GN=LINJ_19_0950 PE=4 SV=1,37,48,43,20,40,9,26,35,44,46,16
4-methyl-5(Beta-hydroxyethyl )-thiazole_monophosphate_synthesis_protein_-_putative OS=Leishmania infantum OX=5671 GN=LINF_300012900 PE=4 SV=1,21,23,27,29,32,30,28,42,26,21,22
50S_ribosome-binding_GTPase/Dynamin_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_220010300 PE=4 SV=1,2,0,2,2,0,1,2,1,4,1,2
50S_ribosome-binding_GTPase/Miro-like_protein /Ras_family_-_putative OS=Leishmania infantum OX=5671 GN=LINF_320039600 PE=4 SV=1,4,6,6,4,5,5,5,8,9,9,6
5'-3'_exoribonuclease_A_-_putative OS=Leishmania infantum OX=5671 GN=LINF_060007900 PE=4 SV=2,18,19,15,11,11,15,20,18,24,24,12
5'-AMP-activated_protein_kinase_catalytic_subunit_alpha_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290027900 PE=4 SV=1,6,11,8,7,11,11,16,9,11,7,10
5-histidylcysteine_sulfoxide_synthase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_290015200 PE=4 SV=1,9,52,7,26,22,12,22,20,9,13,7
5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase OS=Leishmania infantum OX=5671 GN=LINF_310005000 PE=3 SV=1,162,184,174,127,128,156,186,174,160,105,182
5-oxoprolinase_-_putative OS=Leishmania infantum OX=5671 GN=LINF_180015800 PE=3 SV=1,4,12,3,6,7,3,4,4,5,10,11
60S acidic ribosomal protein P0 OS=Leishmania infantum OX=5671 GN=LINF_270020500 PE=3 SV=1,63,46,52,53,65,65,58,64,44,39,46
60S acidic ribosomal protein P2 OS=Leishmania infantum OX=5671 GN=LINF_150019500 PE=3 SV=1,34,23,31,35,33,30,43,31,42,34,25
60S ribosomal export protein NMD3 OS=Leishmania infantum OX=5671 GN=LINF_260014600 PE=3 SV=1,14,14,12,20,11,7,14,5,9,12,6
"60S ribosomal protein L11 (L5, L16) OS=Leishmania infantum OX=5671 GN=RPL11 PE=3 SV=1",28,30,21,23,25,22,24,24,20,25,21
60S ribosomal protein L18a OS=Leishmania infantum OX=5671 GN=LINF_320014400 PE=3 SV=1,31,35,27,29,28,33,34,31,31,28,31
60S ribosomal protein L27 OS=Leishmania infantum OX=5671 GN=LINF_320033900 PE=3 SV=1,15,14,13,12,15,13,17,13,13,9,15
60S ribosomal protein L29 OS=Leishmania infantum OX=5671 GN=LINF_360042500 PE=3 SV=1,7,8,2,2,6,3,3,3,2,6,2
60S ribosomal protein L30 OS=Leishmania infantum OX=5671 GN=LINF_350007500 PE=3 SV=1,28,26,11,17,11,19,32,20,18,18,21
60S ribosomal protein L32 OS=Leishmania infantum OX=5671 GN=LINF_350025500 PE=3 SV=1,8,25,17,15,16,14,21,13,13,17,13
60S ribosomal protein L32 OS=Leishmania infantum OX=5671 GN=RPL32 PE=3 SV=1,5,10,11,8,6,4,8,7,10,10,9
60S ribosomal protein L37 OS=Leishmania infantum OX=5671 GN=LINF_350056500 PE=3 SV=1,4,8,6,5,5,4,6,3,5,6,4
